YBL074C	AAR2
YBR236C	ABD1
YKL112W	ABF1
YNR016C	ACC1
YKL192C	ACP1
YLR153C	ACS2
YFL039C	ACT1
YLR359W	ADE13
YLR397C	AFG2
YOR335C	ALA1
YBR110W	ALG1
YGL047W	ALG13
YBR070C	ALG14
YGL065C	ALG2
YBR243C	ALG7
YOL130W	ALR1
YBR211C	AME1
YPR180W	AOS1
YNL172W	APC1
YDL008W	APC11
YLR127C	APC2
YDR118W	APC4
YOR249C	APC5
YER036C	ARB1
YIL062C	ARC15
YKL013C	ARC19
YNR035C	ARC35
YBR234C	ARC40
YDR376W	ARH1
YDL029W	ARP2
YJR065C	ARP3
YJL081C	ARP4
YPR034W	ARP7
YMR033W	ARP9
YPR085C	ASA1
YKL052C	ASK1
YMR301C	ATM1
YDL004W	ATP16
YKL004W	AUR1
YOL078W	AVO1
YPL255W	BBP1
YHR040W	BCD1
YDR361C	BCP1
YNL039W	BDP1
YIL004C	BET1
YPR176C	BET2
YKR068C	BET3
YJL031C	BET4
YML077W	BET5
YDR299W	BFR2
YHR101C	BIG1
YPL217C	BMS1
YLR078C	BOS1
YDL141W	BPL1
YGR246C	BRF1
YHR036W	BRL1
YBL097W	BRN1
YER172C	BRR2
YGL247W	BRR6
YOL077C	BRX1
YER159C	BUR6
YDR531W	CAB1
YIL083C	CAB2
YKL088W	CAB3
YGR277C	CAB4
YDR196C	CAB5
YFL029C	CAK1
YGR140W	CBF2
YLR175W	CBF5
YNL161W	CBK1
YER168C	CCA1
YPR025C	CCL1
YIL142W	CCT2
YJL014W	CCT3
YDL143W	CCT4
YJR064W	CCT5
YDR188W	CCT6
YJL111W	CCT7
YJL008C	CCT8
YDR182W	CDC1
YJR076C	CDC11
YHR107C	CDC12
YLR215C	CDC123
YDL220C	CDC13
YFR028C	CDC14
YAR019C	CDC15
YKL022C	CDC16
YAL038W	CDC19
YGL116W	CDC20
YOR074C	CDC21
YHR166C	CDC23
YAL041W	CDC24
YLR310C	CDC25
YBL084C	CDC27
YBR160W	CDC28
YLR314C	CDC3
YOR257W	CDC31
YOL139C	CDC33
YDR054C	CDC34
YDL165W	CDC36
YDR168W	CDC37
YCR093W	CDC39
YFL009W	CDC4
