GO	Term	Systematic_Name	comparison	logFC	group
GO:0015688	iron chelate transport	YDR534C	mmm1.wt	2.11427876327604	Xue.data
GO:0015688	iron chelate transport	YEL065W	mmm1.wt	1.0629955624792	Xue.data
GO:0015688	iron chelate transport	YHL040C	mmm1.wt	1.00009524265172	Xue.data
GO:0015688	iron chelate transport	YHL047C	mmm1.wt	1.65759452337884	Xue.data
GO:0015688	iron chelate transport	YOR381W	mmm1.wt	1.32866398516519	Xue.data
GO:0015688	iron chelate transport	YOR382W	mmm1.wt	0.705360945170661	Xue.data
GO:0015688	iron chelate transport	YOR383C	mmm1.wt	0.978797114236215	Xue.data
GO:1901678	iron coordination entity transport	YDR534C	mmm1.wt	2.11427876327604	Xue.data
GO:1901678	iron coordination entity transport	YEL065W	mmm1.wt	1.0629955624792	Xue.data
GO:1901678	iron coordination entity transport	YHL040C	mmm1.wt	1.00009524265172	Xue.data
GO:1901678	iron coordination entity transport	YHL047C	mmm1.wt	1.65759452337884	Xue.data
GO:1901678	iron coordination entity transport	YOR381W	mmm1.wt	1.32866398516519	Xue.data
GO:1901678	iron coordination entity transport	YOR382W	mmm1.wt	0.705360945170661	Xue.data
GO:1901678	iron coordination entity transport	YOR383C	mmm1.wt	0.978797114236215	Xue.data
GO:0055072	iron ion homeostasis	YDR534C	mmm1.wt	2.11427876327604	Xue.data
GO:0055072	iron ion homeostasis	YEL065W	mmm1.wt	1.0629955624792	Xue.data
GO:0055072	iron ion homeostasis	YHL040C	mmm1.wt	1.00009524265172	Xue.data
GO:0055072	iron ion homeostasis	YHL047C	mmm1.wt	1.65759452337884	Xue.data
GO:0055072	iron ion homeostasis	YJR005C-A	mmm1.wt	2.32433186955743	Xue.data
GO:0055072	iron ion homeostasis	YLR136C	mmm1.wt	1.03473552918833	Xue.data
GO:0055072	iron ion homeostasis	YOR381W	mmm1.wt	1.32866398516519	Xue.data
GO:0055072	iron ion homeostasis	YOR382W	mmm1.wt	0.705360945170661	Xue.data
GO:0055072	iron ion homeostasis	YOR383C	mmm1.wt	0.978797114236215	Xue.data
GO:0006879	cellular iron ion homeostasis	YEL065W	mmm1.wt	1.0629955624792	Xue.data
GO:0006879	cellular iron ion homeostasis	YHL040C	mmm1.wt	1.00009524265172	Xue.data
GO:0006879	cellular iron ion homeostasis	YHL047C	mmm1.wt	1.65759452337884	Xue.data
GO:0006879	cellular iron ion homeostasis	YLR136C	mmm1.wt	1.03473552918833	Xue.data
GO:0006879	cellular iron ion homeostasis	YOR381W	mmm1.wt	1.32866398516519	Xue.data
GO:0006826	iron ion transport	YOR381W	mmm1.wt	1.32866398516519	Xue.data
GO:0033214	iron assimilation by chelation and transport	YEL065W	mmm1.wt	1.0629955624792	Xue.data
GO:0033214	iron assimilation by chelation and transport	YHL040C	mmm1.wt	1.00009524265172	Xue.data
GO:0033214	iron assimilation by chelation and transport	YHL047C	mmm1.wt	1.65759452337884	Xue.data
GO:0033212	iron assimilation	YEL065W	mmm1.wt	1.0629955624792	Xue.data
GO:0033212	iron assimilation	YHL040C	mmm1.wt	1.00009524265172	Xue.data
GO:0033212	iron assimilation	YHL047C	mmm1.wt	1.65759452337884	Xue.data
GO:0015688	iron chelate transport	YDR534C	mdm34.wt	2.12781570388715	Xue.data
GO:0015688	iron chelate transport	YEL065W	mdm34.wt	1.02141301931863	Xue.data
GO:0015688	iron chelate transport	YHL040C	mdm34.wt	0.90616578502313	Xue.data
GO:0015688	iron chelate transport	YHL047C	mdm34.wt	1.68717046498577	Xue.data
GO:0015688	iron chelate transport	YOR382W	mdm34.wt	0.672137260952206	Xue.data
GO:0015688	iron chelate transport	YOR383C	mdm34.wt	0.954563936652288	Xue.data
GO:1901678	iron coordination entity transport	YDR534C	mdm34.wt	2.12781570388715	Xue.data
GO:1901678	iron coordination entity transport	YEL065W	mdm34.wt	1.02141301931863	Xue.data
GO:1901678	iron coordination entity transport	YHL040C	mdm34.wt	0.90616578502313	Xue.data
GO:1901678	iron coordination entity transport	YHL047C	mdm34.wt	1.68717046498577	Xue.data
GO:1901678	iron coordination entity transport	YOR382W	mdm34.wt	0.672137260952206	Xue.data
GO:1901678	iron coordination entity transport	YOR383C	mdm34.wt	0.954563936652288	Xue.data
GO:0055072	iron ion homeostasis	YDR534C	mdm34.wt	2.12781570388715	Xue.data
GO:0055072	iron ion homeostasis	YEL065W	mdm34.wt	1.02141301931863	Xue.data
GO:0055072	iron ion homeostasis	YHL040C	mdm34.wt	0.90616578502313	Xue.data
GO:0055072	iron ion homeostasis	YHL047C	mdm34.wt	1.68717046498577	Xue.data
GO:0055072	iron ion homeostasis	YJR005C-A	mdm34.wt	2.40951966733137	Xue.data
GO:0055072	iron ion homeostasis	YLR136C	mdm34.wt	1.06556666606018	Xue.data
GO:0055072	iron ion homeostasis	YOR382W	mdm34.wt	0.672137260952206	Xue.data
GO:0055072	iron ion homeostasis	YOR383C	mdm34.wt	0.954563936652288	Xue.data
GO:0006879	cellular iron ion homeostasis	YEL065W	mdm34.wt	1.02141301931863	Xue.data
GO:0006879	cellular iron ion homeostasis	YHL040C	mdm34.wt	0.90616578502313	Xue.data
GO:0006879	cellular iron ion homeostasis	YHL047C	mdm34.wt	1.68717046498577	Xue.data
GO:0006879	cellular iron ion homeostasis	YLR136C	mdm34.wt	1.06556666606018	Xue.data
GO:0033214	iron assimilation by chelation and transport	YEL065W	mdm34.wt	1.02141301931863	Xue.data
GO:0033214	iron assimilation by chelation and transport	YHL040C	mdm34.wt	0.90616578502313	Xue.data
GO:0033214	iron assimilation by chelation and transport	YHL047C	mdm34.wt	1.68717046498577	Xue.data
